1192, 1350, 3, 0.468922, 0.997490, 6.650246
1189, 1353, 3, 0.467742, 0.997483, 6.665025
1178, 1364, 3, 0.463415, 0.997460, 6.719212
1171, 1371, 3, 0.460661, 0.997445, 6.753695
1165, 1377, 3, 0.458301, 0.997432, 6.783251
1159, 1383, 3, 0.455940, 0.997418, 6.812808
1156, 1386, 3, 0.454760, 0.997412, 6.827586
1149, 1393, 3, 0.452006, 0.997396, 6.862069
1146, 1396, 3, 0.450826, 0.997389, 6.876847
1139, 1403, 3, 0.448072, 0.997373, 6.911330
1130, 1412, 3, 0.444532, 0.997352, 6.955665
1121, 1421, 4, 0.440991, 0.996444, 7.000000
1112, 1430, 5, 0.437451, 0.995524, 7.044335
1105, 1437, 5, 0.434697, 0.995495, 7.078818
1099, 1443, 5, 0.432337, 0.995471, 7.108375
1090, 1452, 5, 0.428796, 0.995434, 7.152709
1083, 1459, 5, 0.426042, 0.995404, 7.187192
1070, 1472, 5, 0.420928, 0.995349, 7.251232
1061, 1481, 5, 0.417388, 0.995310, 7.295567
1054, 1488, 5, 0.414634, 0.995279, 7.330049
1040, 1502, 5, 0.409127, 0.995215, 7.399015
1027, 1515, 5, 0.404013, 0.995155, 7.463054
1012, 1530, 5, 0.398112, 0.995084, 7.536946
1000, 1542, 5, 0.393391, 0.995025, 7.596059
986, 1556, 5, 0.387884, 0.994955, 7.665025
963, 1579, 5, 0.378836, 0.994835, 7.778325
950, 1592, 5, 0.373721, 0.994764, 7.842364
927, 1615, 6, 0.364673, 0.993569, 7.955665
904, 1638, 7, 0.355625, 0.992316, 8.068966
885, 1657, 7, 0.348151, 0.992152, 8.162561
864, 1678, 7, 0.339890, 0.991963, 8.266010
841, 1701, 7, 0.330842, 0.991745, 8.379311
825, 1717, 7, 0.324548, 0.991587, 8.458128
807, 1735, 8, 0.317467, 0.990184, 8.546798
793, 1749, 8, 0.311959, 0.990012, 8.615764
777, 1765, 8, 0.305665, 0.989809, 8.694581
756, 1786, 8, 0.297404, 0.989529, 8.798030
737, 1805, 8, 0.289929, 0.989262, 8.891625
721, 1821, 9, 0.283635, 0.987671, 8.970444
699, 1843, 10, 0.274980, 0.985896, 9.078817
670, 1872, 10, 0.263572, 0.985294, 9.221675
650, 1892, 10, 0.255704, 0.984848, 9.320197
629, 1913, 12, 0.247443, 0.981279, 9.423645
617, 1925, 12, 0.242722, 0.980922, 9.482759
599, 1943, 12, 0.235641, 0.980360, 9.571428
585, 1957, 12, 0.230134, 0.979900, 9.640394
575, 1967, 12, 0.226200, 0.979557, 9.689655
556, 1986, 12, 0.218725, 0.978873, 9.783251
540, 2002, 12, 0.212431, 0.978261, 9.862069
525, 2017, 13, 0.206530, 0.975836, 9.935961
515, 2027, 13, 0.202596, 0.975379, 9.985222
500, 2042, 14, 0.196696, 0.972763, 10.059114
485, 2057, 14, 0.190795, 0.971944, 10.133005
464, 2078, 16, 0.182533, 0.966667, 10.236453
