123, 1049, 90
123, 1036, 90
123, 1026, 90
123, 1012, 90
123, 996, 90
123, 992, 90
123, 979, 90
123, 972, 90
123, 967, 90
123, 958, 90
123, 941, 90
123, 935, 90
123, 929, 90
123, 918, 90
123, 905, 90
123, 892, 90
123, 879, 90
123, 860, 90
123, 856, 90
123, 837, 90
123, 832, 90
123, 819, 90
123, 807, 90
123, 792, 90
123, 775, 90
123, 766, 90
123, 747, 90
122, 737, 91
122, 724, 91
122, 713, 91
122, 697, 91
122, 686, 91
122, 677, 91
122, 667, 91
122, 651, 91
122, 638, 91
122, 625, 91
122, 611, 91
122, 592, 91
122, 567, 91
121, 544, 92
121, 527, 92
121, 509, 92
121, 483, 92
121, 452, 92
121, 421, 92
121, 396, 92
120, 364, 93
120, 330, 93
120, 287, 93
